iter	Passed	Remaining
269	3721	10063
270	3740	10061
271	3754	10048
272	3769	10037
273	3813	10104
274	3856	10166
275	3896	10221
276	3934	10268
277	3965	10297
278	4001	10340
279	4044	10399
280	4088	10460
281	4124	10501
282	4159	10539
283	4188	10560
284	4212	10568
285	4231	10562
286	4265	10597
287	4301	10633
288	4343	10685
289	4390	10748
290	4443	10826
291	4497	10905
292	4531	10933
293	4565	10963
294	4624	11052
295	4699	11178
296	4820	11410
297	4914	11576
298	4995	11711
299	5037	11755
300	5085	11810
301	5125	11846
302	5175	11904
303	5219	11950
304	5265	11998
305	5315	12055
306	5360	12100
307	5410	12154
308	5459	12208
309	5495	12232
310	5531	12254
311	5564	12269
312	5599	12290
313	5631	12302
314	5646	12279
315	5672	12278
316	5700	12282
317	5736	12303
318	5766	12311
319	5797	12319
320	5828	12328
321	5851	12321
322	5868	12300
323	5894	12297
324	5936	12330
325	5986	12377
326	6052	12457
327	6076	12450
328	6148	12540
329	6195	12579
330	6238	12609
331	6272	12619
332	6286	12592
333	6312	12586
334	6332	12570
335	6345	12539
336	6358	12509
337	6375	12486
338	6388	12456
339	6400	12424
340	6412	12392
341	6425	12362
342	6438	12332
343	6451	12302
344	6465	12274
345	6477	12243
346	6489	12211
347	6502	12182
348	6515	12153
349	6527	12123
350	6539	12092
351	6551	12060
352	6564	12031
353	6578	12005
354	6590	11974
355	6602	11944
356	6614	11914
357	6627	11885
358	6639	11855
359	6651	11825
360	6665	11798
361	6677	11769
362	6689	11739
363	6701	11709
364	6714	11681
365	6726	11652
366	6738	11622
367	6750	11592
368	6763	11564
369	6774	11535
370	6787	11506
371	6799	11478
372	6811	11450
373	6823	11421
374	6836	11393
375	6849	11367
376	6863	11341
377	6878	11318
378	6895	11298
379	6910	11274
380	6927	11254
381	6941	11229
382	6954	11203
383	6967	11176
384	6981	11152
385	6996	11129
386	7013	11109
387	7030	11088
388	7045	11066
389	7065	11051
390	7083	11032
391	7104	11019
392	7122	11001
393	7136	10977
394	7151	10954
395	7166	10930
396	7179	10904
397	7192	10879
398	7206	10854
399	7220	10830
400	7233	10805
401	7246	10779
402	7260	10756
403	7274	10731
404	7289	10709
405	7305	10687
406	7319	10664
407	7337	10646
408	7355	10627
409	7370	10606
410	7387	10586
411	7403	10566
412	7418	10544
413	7432	10520
414	7448	10500
415	7463	10477
416	7478	10455
417	7492	10431
418	7505	10407
419	7519	10384
420	7535	10364
421	7549	10340
422	7563	10316
423	7576	10292
424	7588	10267
425	7601	10242
426	7615	10219
427	7630	10197
428	7644	10174
429	7657	10150
430	7669	10124
431	7682	10100
432	7695	10077
433	7708	10053
434	7721	10029
435	7736	10007
436	7748	9982
437	7761	9958
438	7773	9934
439	7786	9910
440	7800	9888
441	7814	9864
442	7828	9842
443	7842	9820
444	7856	9798
445	7870	9776
446	7885	9754
447	7899	9733
448	7913	9710
449	7927	9688
450	7941	9666
451	7955	9644
452	7969	9623
453	7983	9601
454	7997	9578
455	8011	9557
456	8025	9535
457	8039	9514
458	8052	9491
459	8066	9469
460	8078	9445
461	8092	9423
462	8105	9401
463	8119	9379
464	8133	9357
465	8149	9339
466	8163	9317
467	8177	9295
468	8191	9274
469	8206	9254
470	8221	9233
471	8235	9212
472	8249	9190
473	8263	9170
474	8278	9149
475	8292	9128
476	8305	9106
477	8319	9084
478	8332	9063
479	8345	9040
480	8359	9019
481	8371	8996
482	8384	8974
483	8397	8953
484	8412	8932
485	8425	8910
486	8438	8889
487	8451	8866
488	8465	8846
489	8478	8824
490	8491	8803
491	8505	8782
492	8519	8760
493	8532	8739
494	8548	8721
495	8565	8703
496	8580	8683
497	8596	8665
498	8610	8645
499	8624	8624
500	8640	8606
501	8657	8588
502	8673	8570
503	8690	8552
504	8704	8532
505	8721	8514
506	8736	8494
507	8750	8474
508	8764	8454
509	8779	8435
510	8793	8414
511	8807	8394
512	8820	8373
513	8834	8352
514	8848	8332
515	8862	8312
516	8876	8292
517	8890	8272
518	8904	8252
519	8918	8232
520	8934	8213
521	8950	8196
522	8966	8177
523	8981	8159
524	8996	8139
525	9010	8119
526	9025	8100
527	9040	8081
528	9056	8063
529	9072	8045
530	9090	8028
531	9110	8014
532	9129	7999
533	9149	7984
534	9169	7969
535	9189	7955
536	9206	7938
537	9226	7922
538	9241	7903
539	9257	7886
540	9274	7868
541	9291	7851
542	9305	7832
543	9322	7814
544	9336	7794
545	9351	7775
546	9367	7757
547	9382	7738
548	9397	7720
549	9411	7700
550	9425	7680
551	9440	7661
552	9455	7643
553	9472	7625
554	9487	7607
555	9502	7588
556	9517	7569
557	9530	7549
558	9544	7529
559	9558	7510
560	9572	7491
561	9587	7472
562	9602	7453
563	9617	7434
564	9631	7415
565	9647	7397
566	9662	7378
567	9678	7360
568	9693	7342
569	9710	7325
570	9726	7307
571	9741	7288
572	9755	7269
573	9772	7252
574	9787	7234
575	9803	7216
576	9818	7197
577	9837	7182
578	9853	7164
579	9869	7147
580	9888	7131
581	9902	7111
582	9918	7094
583	9935	7077
584	9951	7059
585	9966	7040
586	9979	7021
587	9993	7002
588	10007	6983
589	10020	6963
590	10035	6945
591	10049	6925
592	10063	6907
593	10077	6887
594	10091	6869
595	10105	6850
596	10119	6831
597	10133	6812
598	10147	6793
599	10161	6774
600	10175	6755
601	10190	6737
602	10203	6717
603	10217	6698
604	10232	6680
605	10249	6663
606	10265	6646
607	10280	6628
608	10294	6609
609	10308	6590
610	10323	6572
611	10337	6553
612	10354	6536
613	10370	6519
614	10387	6502
615	10400	6483
616	10415	6465
617	10431	6447
618	10445	6429
619	10459	6410
620	10474	6392
621	10489	6374
622	10503	6356
623	10517	6337
624	10531	6318
625	10546	6300
626	10561	6282
627	10575	6264
628	10591	6246
629	10606	6229
630	10620	6210
631	10635	6192
632	10649	6174
633	10663	6155
634	10677	6137
635	10691	6118
636	10704	6100
637	10718	6081
638	10731	6062
639	10746	6044
640	10760	6026
641	10775	6008
642	10790	5991
643	10805	5972
644	10819	5954
645	10832	5936
646	10846	5917
647	10858	5898
648	10873	5880
649	10887	5862
650	10900	5843
651	10915	5825
652	10928	5807
653	10942	5789
654	10954	5770
655	10969	5752
656	10983	5734
657	10999	5716
658	11014	5699
659	11030	5682
660	11048	5666
661	11063	5648
662	11077	5630
663	11096	5614
664	11111	5597
665	11125	5579
666	11141	5562
667	11157	5545
668	11172	5527
669	11185	5509
670	11200	5491
671	11215	5474
672	11230	5456
673	11247	5440
674	11268	5425
675	11286	5409
676	11305	5393
677	11321	5376
678	11338	5360
679	11354	5343
680	11368	5325
681	11382	5307
682	11397	5289
683	11412	5272
684	11427	5254
685	11443	5237
686	11458	5220
687	11475	5204
688	11490	5186
689	11506	5169
690	11520	5151
691	11536	5134
692	11552	5117
693	11568	5100
694	11584	5084
695	11600	5066
696	11616	5049
697	11632	5032
698	11648	5016
699	11665	4999
700	11681	4982
701	11698	4965
702	11714	4949
703	11730	4932
704	11747	4915
705	11763	4898
706	11778	4881
707	11793	4863
708	11810	4847
709	11826	4830
710	11840	4812
711	11856	4795
712	11871	4778
713	11886	4761
714	11903	4744
715	11918	4727
716	11933	4710
717	11948	4692
718	11963	4675
719	11978	4658
720	11993	4641
721	12009	4624
722	12026	4607
723	12040	4589
724	12054	4572
725	12069	4555
726	12084	4537
727	12099	4520
728	12113	4503
729	12128	4485
730	12141	4468
731	12155	4450
732	12177	4435
733	12193	4418
734	12213	4403
735	12227	4386
736	12243	4369
737	12258	4351
738	12272	4334
739	12289	4317
740	12304	4300
741	12320	4283
742	12336	4267
743	12351	4249
744	12366	4232
745	12380	4215
746	12394	4197
747	12408	4180
748	12424	4163
749	12438	4146
750	12453	4129
751	12467	4111
752	12481	4094
753	12494	4076
754	12509	4059
755	12523	4042
756	12538	4024
757	12553	4007
758	12567	3990
759	12582	3973
760	12596	3956
761	12619	3941
762	12634	3924
763	12651	3908
764	12665	3890
765	12680	3873
766	12693	3856
767	12708	3838
768	12723	3821
769	12737	3804
770	12752	3787
771	12766	3770
772	12782	3753
773	12797	3736
774	12812	3719
775	12827	3702
776	12842	3685
777	12858	3669
778	12874	3652
779	12889	3635
780	12901	3617
781	12914	3600
782	12927	3582
783	12941	3565
784	12956	3548
785	12970	3531
786	12984	3514
787	12999	3497
788	13014	3480
789	13034	3464
790	13049	3447
791	13063	3430
792	13077	3413
793	13091	3396
794	13105	3379
795	13119	3362
796	13132	3344
797	13146	3327
798	13161	3310
799	13175	3293
800	13190	3276
801	13204	3260
802	13219	3243
803	13233	3226
804	13248	3209
805	13262	3192
806	13277	3175
807	13292	3158
808	13306	3141
809	13322	3125
810	13336	3107
811	13351	3091
812	13367	3074
813	13381	3057
814	13395	3040
815	13410	3023
816	13433	3008
817	13451	2992
818	13464	2975
819	13477	2958
820	13490	2941
821	13504	2924
822	13517	2907
823	13530	2889
824	13543	2872
825	13558	2856
826	13572	2839
827	13586	2822
828	13600	2805
829	13614	2788
830	13626	2771
831	13638	2753
832	13650	2736
833	13664	2719
834	13677	2702
835	13690	2685
836	13703	2668
837	13716	2651
838	13729	2634
839	13740	2617
840	13753	2600
841	13765	2583
842	13778	2566
843	13790	2548
844	13803	2531
845	13816	2515
846	13829	2498
847	13841	2480
848	13854	2464
849	13867	2447
850	13879	2430
851	13891	2413
852	13904	2396
853	13916	2379
854	13929	2362
855	13942	2345
856	13953	2328
857	13965	2311
858	13978	2294
859	13992	2277
860	14005	2261
861	14018	2244
862	14031	2227
863	14045	2210
864	14059	2194
865	14074	2177
866	14088	2161
867	14101	2144
868	14114	2127
869	14127	2110
870	14141	2094
871	14155	2077
872	14168	2061
873	14181	2044
874	14194	2027
875	14208	2011
876	14224	1995
877	14240	1978
878	14254	1962
879	14268	1945
880	14281	1929
881	14293	1912
882	14306	1895
883	14320	1879
884	14333	1862
885	14345	1845
886	14358	1829
887	14370	1812
888	14383	1795
889	14396	1779
890	14409	1762
891	14424	1746
892	14438	1729
893	14450	1713
894	14462	1696
895	14474	1680
896	14487	1663
897	14499	1646
898	14511	1630
899	14523	1613
900	14536	1597
901	14549	1580
902	14560	1564
903	14571	1547
904	14584	1530
905	14596	1514
906	14608	1497
907	14620	1481
908	14632	1464
909	14646	1448
910	14659	1432
911	14671	1415
912	14683	1399
913	14696	1382
914	14710	1366
915	14723	1350
916	14736	1333
917	14749	1317
918	14763	1301
919	14777	1284
920	14792	1268
921	14804	1252
922	14819	1236
923	14831	1219
924	14844	1203
925	14856	1187
926	14868	1170
927	14881	1154
928	14894	1138
929	14906	1121
930	14919	1105
931	14931	1089
932	14944	1073
933	14958	1057
934	14972	1040
935	14984	1024
936	14997	1008
937	15010	992
938	15024	976
939	15038	959
940	15050	943
941	15064	927
942	15076	911
943	15089	895
944	15101	878
945	15114	862
946	15126	846
947	15139	830
948	15151	814
949	15163	798
950	15175	781
951	15188	765
952	15200	749
953	15213	733
954	15225	717
955	15238	701
956	15251	685
957	15264	669
958	15276	653
959	15288	637
960	15302	620
961	15314	604
962	15328	588
963	15340	572
964	15353	556
965	15367	540
966	15380	524
967	15392	508
968	15405	492
969	15418	476
970	15431	460
971	15445	444
972	15463	429
973	15479	413
974	15492	397
975	15504	381
976	15517	365
977	15532	349
978	15546	333
979	15559	317
980	15572	301
981	15584	285
982	15598	269
983	15611	253
984	15624	237
985	15637	222
986	15651	206
987	15665	190
988	15679	174
989	15694	158
990	15708	142
991	15721	126
992	15735	110
993	15748	95
994	15763	79
995	15776	63
996	15790	47
997	15805	31
998	15820	15
999	15835	0
