iter	Logloss
0	0.6752864828
1	0.6589235725
2	0.6438541655
3	0.6307371459
4	0.6176764314
5	0.6066881586
6	0.5961150622
7	0.5860586071
8	0.5773165833
9	0.5688754876
10	0.5608512315
11	0.5541231306
12	0.5475089485
13	0.5418924506
14	0.536249661
15	0.5315901108
16	0.5260558354
17	0.5211818412
18	0.5174344985
19	0.5134286312
20	0.5095255079
21	0.5057585591
22	0.502566886
23	0.4995152723
24	0.4969861866
25	0.4941342327
26	0.4918412904
27	0.4893932764
28	0.4869375283
29	0.4846873049
30	0.4827050297
31	0.4811034786
32	0.4793850724
33	0.4779095345
34	0.4761170251
35	0.4745105614
36	0.4729154217
37	0.4714521346
38	0.470549163
39	0.4694064405
40	0.4683005952
41	0.4668859801
42	0.4656423059
43	0.4643160153
44	0.4631863549
45	0.4622647516
46	0.4610142695
47	0.4600322434
48	0.4588941131
49	0.4579797958
50	0.4571731205
51	0.4563552034
52	0.4557647474
53	0.4550363733
54	0.4538718589
55	0.4530532705
56	0.4523359819
57	0.4514487256
58	0.4506058826
59	0.4499581542
60	0.4492641139
61	0.44858109
62	0.4477778123
63	0.4473093954
64	0.4468594156
65	0.4460114621
66	0.4452314341
67	0.4447632708
68	0.4441284165
69	0.4434339293
70	0.442937501
71	0.4422749919
72	0.4417613355
73	0.441273117
74	0.4408387361
75	0.4404096251
76	0.4397097332
77	0.4394207169
78	0.4388079669
79	0.4382383999
80	0.4377760993
81	0.4372879905
82	0.4367756985
83	0.4360438538
84	0.4354466029
85	0.4349476249
86	0.4344968793
87	0.4341088852
88	0.4335615409
89	0.432768107
90	0.4322743774
91	0.4319227991
92	0.4314460689
93	0.4309812685
94	0.4305434361
95	0.4299748108
96	0.4294236671
97	0.4290818985
98	0.4284493256
99	0.4279480616
100	0.4275398284
101	0.4270887544
102	0.4265060359
103	0.4261864207
104	0.4256396313
105	0.4251936563
106	0.4247419433
107	0.4241798119
108	0.4237752964
109	0.4233284595
110	0.4229590504
111	0.4225404205
112	0.4221650383
113	0.421746348
114	0.4213537378
115	0.4209087282
116	0.4205672919
117	0.4202582934
118	0.420043971
119	0.4196939741
120	0.4194265672
121	0.4190596193
122	0.4185933016
123	0.4181592295
124	0.4179555553
125	0.4175384855
126	0.417093043
127	0.4168377821
128	0.4163218367
129	0.4160274413
